Category,Word,Mean_Valence,SD_Valence,Mean_Arousal,SD_Arousal,Mean_Familiarity,SD_Familiarity,Mean_Concreteness,SD_Concreteness,Frequency,Length,English,log_frequency,picked,PATH_spanish,PATH_english
animal,Escarabajo,3.3684210526,1.6833212446,4.5526315789,2.2862381283,3.36,1.8,7.52,1.5307950004,1.43,10,Beetle,0.3576744443,True,../stimuli_figure/beetle.jpeg,../stimuli_figure/BEETLE.jpeg
animal,Gallina,4.5789473684,1.2221288237999999,4.6052631579000005,1.6030287833,4.64,2.6280537793,6.92,2.3259406699,13.04,7,Hen,2.5680215565,True,../stimuli_figure/hen.jpeg,../stimuli_figure/HEN.jpeg
animal,Gaviota,5.0,1.9864405216,5.0263157895,1.9240559931999999,4.36,2.3252240035,7.92,1.5524174696000002,2.5,7,Seagull,0.9162907319,True,../stimuli_figure/seagull.jpeg,../stimuli_figure/SEAGULL.jpeg
animal,Golondrina,6.3157894737,1.317353267,4.3421052632,1.834744489,3.12,2.0680103159,7.16,1.4047538337,2.32,10,Swallow,0.8415671856999999,True,../stimuli_figure/swallow.jpeg,../stimuli_figure/SWALLOW.jpeg
animal,Gorri�n,5.7105263158,1.3931860188,4.3684210526,1.8948158669,3.32,2.4785748593,7.56,2.1031722072,0.89,7,Sparrow,-0.11653381630000001,True,../stimuli_figure/sparrow.jpeg,../stimuli_figure/SPARROW.jpeg
animal,Leopardo,6.078947368400001,1.9225768033000001,6.2894736842,1.8440246046000002,3.48,1.939071943,7.96,1.2741009902,0.54,8,Leopard,-0.6161861394,True,../stimuli_figure/leopard.jpeg,../stimuli_figure/LEOPARD.jpeg
animal,Liebre,5.6052631579,1.2200902422,4.6842105263,1.875954001,4.16,2.2300971578,7.4,1.8929694486000002,5.0,6,Hare,1.6094379124,True,../stimuli_figure/hare.jpeg,../stimuli_figure/HARE.jpeg
animal,Lince,6.8947368421,1.3313166351,6.657894736799999,1.7285569015,3.6,2.1794494718,6.76,2.1268129521,1.25,5,Lynx,0.2231435513,True,../stimuli_figure/lynx.jpeg,../stimuli_figure/LYNX.jpeg
animal,Lobo,4.8157894737,2.3579109301,6.8157894737,1.7375855127000002,4.4,2.4152294577,7.68,1.7729448196000002,15.18,4,Wolf,2.7199787719999997,True,../stimuli_figure/wolf.jpeg,../stimuli_figure/WOLF.jpeg
animal,Mejill�n,5.3421052632,1.6648401561000001,3.5789473683999997,2.0747071294,4.36,2.3430749028,7.76,1.7146428199000001,3.21,8,Mussel,1.1662709371,True,../stimuli_figure/mussel.jpeg,../stimuli_figure/MUSSEL.jpeg
animal,Mono,6.342105263200001,1.6485262180000002,5.6842105263,2.0415317932,4.24,2.2412793965,6.28,1.6713268181999998,18.21,4,Monkey,2.9019708937,True,../stimuli_figure/monkey.jpeg,../stimuli_figure/MONKEY.jpeg
animal,Orangut�n,5.5,1.9555879741,5.973684210499999,1.9657450565,3.16,2.1733231084,8.0,1.6329931619,1.07,9,Orangutan,0.0676586485,True,../stimuli_figure/orangutan.jpeg,../stimuli_figure/ORANGUTAN.jpeg
animal,Oso,5.6052631579,1.7939760112,5.2368421053,2.0721344333,4.72,2.6851443163999997,7.64,1.4685593847999998,11.43,3,Bear,2.4362414778,True,../stimuli_figure/bear.jpeg,../stimuli_figure/BEAR.jpeg
animal,Oveja,5.657894736799999,1.341163589,4.0263157895,1.9794463068,3.68,2.1354156503999997,7.84,1.2476644848,6.61,5,Sheep,1.8885836538999998,True,../stimuli_figure/sheep.jpeg,../stimuli_figure/SHEEP.jpeg
animal,Pato,6.2368421053,1.2826115783,3.7631578947000004,1.8950035374,4.76,2.6814175356,7.8,1.6329931619,4.82,4,Duck,1.5727739281,True,../stimuli_figure/duck.jpeg,../stimuli_figure/DUCK.jpeg
animal,Perdiz,5.3157894737,1.6782433409,3.9473684211,1.9023082483000002,4.68,2.5119713374,8.0,1.2909944487,1.07,6,Partridge,0.0676586485,True,../stimuli_figure/partridge.jpeg,../stimuli_figure/PARTRIDGE.jpeg
animal,Ping�ino,7.0,1.506741607,4.9473684211,2.2773546581,4.0,2.6770630674,7.04,2.0510160084,1.96,8,Penguin,0.6729444732,True,../stimuli_figure/penguin.jpeg,../stimuli_figure/PENGUIN.jpeg
animal,Pulga,2.2894736842,1.2925544525,5.6315789474,2.1488029682,3.76,2.4372115213999996,7.24,1.9638397762,1.79,5,Flea,0.5822156199,True,../stimuli_figure/flea.jpeg,../stimuli_figure/FLEA.jpeg
animal,Tigre,5.973684210499999,2.0199925355,7.2368421053,1.8370689129,3.76,2.5046623192,7.6,1.8484227511000002,4.29,5,Tiger,1.4562867329,True,../stimuli_figure/tiger.jpeg,../stimuli_figure/TIGER.jpeg
animal,Toro,3.4210526316000003,1.9400693628,7.0,1.7706312815,4.76,2.6025628395,7.84,1.5459624834,13.21,4,Bull,2.5809741185,True,../stimuli_figure/bull.jpeg,../stimuli_figure/BULL.jpeg
animal,Zorro,5.6315789474,1.9231316328999999,5.921052631599999,1.6986732334,3.2083333332999997,2.2062986251,7.791666666699999,1.5874279625,4.82,5,Fox,1.5727739281,True,../stimuli_figure/fox.jpeg,../stimuli_figure/FOX.jpeg
animal,�guila,6.157894736799999,1.5513954623,6.0,1.6765472886000001,4.32,2.4447222064,7.36,1.8,7.86,6,Eagle,2.0617866063999997,True,../stimuli_figure/eagle.jpeg,../stimuli_figure/EAGLE.jpeg
object,Alambre,3.2631578947000004,1.6054671885,4.0263157895,2.1496302900999997,3.64,2.0591260282,7.4,1.3228756555,4.64,7,Wire,1.5347143662,True,../stimuli_figure/wire.jpeg,../stimuli_figure/WIRE.jpeg
object,Alfombra,5.0263157895,1.1965455256,2.9210526316000003,1.8215167268999999,4.84,1.9723082923,7.44,2.1617893823,16.07,8,Carpet,2.7769541797,True,../stimuli_figure/carpet.jpeg,../stimuli_figure/CARPET.jpeg
object,Ametralladora,1.4473684211000002,0.8913205636,7.3157894737,2.0678394934999997,3.6,2.3273733406,6.84,2.3216373532,0.08,13,Machine gun,-2.5257286443,True,../stimuli_figure/machine gun.jpeg,../stimuli_figure/MACHINE GUN.jpeg
object,Arco,4.8421052632,1.3259635108,4.0526315789,1.7076515946000002,4.08,2.4650895859,6.2,2.2546248764,22.86,4,Arc,3.1293886584,True,../stimuli_figure/arc.jpeg,../stimuli_figure/ARC.jpeg
object,Bengala,4.6578947368,1.7595502464,6.1315789474,1.5451939899,3.16,1.8636880997999998,7.08,1.5790292376,1.07,7,Bengal,0.0676586485,True,../stimuli_figure/bengal.jpeg,../stimuli_figure/BENGAL.jpeg
object,Bistur�,3.2631578947000004,2.0883746496,6.526315789500001,2.0630185455000003,4.04,2.4234960972,7.84,1.6753109164,6.07,7,Scalpel,1.8033586051,True,../stimuli_figure/scalpel.jpeg,../stimuli_figure/SCALPEL.jpeg
object,Br�jula,5.1052631579000005,1.5385053063,4.0,1.93125082,3.84,2.2300971578,7.84,1.1060440015000002,2.5,7,Compass,0.9162907319,True,../stimuli_figure/compass.jpeg,../stimuli_figure/COMPASS.jpeg
object,Cheque,6.2105263158,1.4361716138999998,5.6842105263,1.7414697607,4.84,2.3216373532,6.84,1.9510680836,4.11,6,Check,1.4134230285,True,../stimuli_figure/check.jpeg,../stimuli_figure/CHECK.jpeg
object,Cometa,6.3157894737,1.4162238172,5.1842105263,1.7375855127000002,4.88,2.4718414189,7.24,1.8321208112,7.5,6,Kite,2.0149030205000003,True,../stimuli_figure/kite.jpeg,../stimuli_figure/KITE.jpeg
object,Dardo,4.3947368420999995,2.0865006743,4.9736842105,2.1115748203,3.92,2.3079572497,7.32,1.4352700094,7.5,5,Dart,2.0149030205000003,True,../stimuli_figure/dart.jpeg,../stimuli_figure/DART.jpeg
object,Desag�e,2.9473684211,1.4877403221,4.0789473684,1.8362944318,3.88,2.3330952259,7.36,1.3808210118000002,1.07,7,Drain,0.0676586485,True,../stimuli_figure/drain.jpeg,../stimuli_figure/DRAIN.jpeg
object,Escudo,4.7368421053,1.4460423253999999,4.9473684211,1.7698277275,3.8,2.3094010768,6.291666666699999,2.6454089298,8.93,6,Shield,2.1894163949000003,True,../stimuli_figure/shield.jpeg,../stimuli_figure/SHIELD.jpeg
object,Esterilla,5.2368421053,1.6346618878999999,3.3947368421,1.9664685549,3.88,2.4207436874,6.56,2.5832795693,0.36,9,Wicker,-1.0216512475,True,../stimuli_figure/wicker.jpeg,../stimuli_figure/WICKER.jpeg
object,Faja,3.6842105263,1.6620609667,3.8421052632,1.8087821166,3.96,2.4913182588,7.041666666699999,1.3344650994,2.32,4,Belt,0.8415671856999999,True,../stimuli_figure/belt.jpeg,../stimuli_figure/BELT.jpeg
object,Flecha,3.7631578947000004,1.9233165405000001,5.5,2.1529363983,4.64,2.514623895,6.08,2.1969676071,4.46,6,Arrow,1.495148766,True,../stimuli_figure/arrow.jpeg,../stimuli_figure/ARROW.jpeg
object,Hamaca,7.0,1.506741607,3.3157894737,2.2673387562,4.28,2.622339922,7.88,1.3940349111,2.5,6,Hammock,0.9162907319,True,../stimuli_figure/hammock.jpeg,../stimuli_figure/HAMMOCK.jpeg
object,Inyecci�n,2.0526315789,1.2290925772,7.0,1.4886961464,5.0,1.8708286934,6.64,1.8230011885,6.96,9,Injection,1.9401794743,True,../stimuli_figure/injection.jpeg,../stimuli_figure/INJECTION.jpeg
object,Jeringa,2.0,1.2080808994,6.9473684211,1.6594914300999999,3.56,2.3108440017,6.4,2.5658007197,1.07,7,Syringe,0.0676586485,True,../stimuli_figure/syringe.jpeg,../stimuli_figure/SYRINGE.jpeg
object,Ladrillo,4.2368421053,1.4965584036000001,3.3157894737,1.8174122256,4.96,2.5735837529,6.6,1.9578900206999998,8.04,8,Brick,2.0844290832,True,../stimuli_figure/brick.jpeg,../stimuli_figure/BRICK.jpeg
object,Lancha,6.157894736799999,1.6028069262,5.8947368421,1.9142350626,3.2,1.9148542155000001,7.12,2.0066555924,1.96,6,Boat,0.6729444732,True,../stimuli_figure/boat.jpeg,../stimuli_figure/BOAT.jpeg
object,L�tigo,3.0526315789,1.7850333999999999,5.8157894737,1.7219609054,3.32,2.3043437244,7.72,1.5143755588999999,4.46,6,Whip,1.495148766,True,../stimuli_figure/whip.jpeg,../stimuli_figure/WHIP.jpeg
object,Machete,2.4736842105,1.7201012243,6.026315789500001,2.1115748203,3.12,2.3860706891,7.56,1.1210114481,1.79,7,Machete,0.5822156199,True,../stimuli_figure/machete.jpeg,../stimuli_figure/MACHETE.jpeg
object,Mecedora,6.342105263200001,1.834744489,2.6578947368,1.6648401561000001,4.04,2.3537204592,6.52,2.2752289262,4.11,8,Rocking chair,1.4134230285,True,../stimuli_figure/rocking chair.jpeg,../stimuli_figure/ROCKING CHAIR.jpeg
object,Misil,1.5526315788999998,0.7240041967,6.7894736842,1.9885876386,3.6,2.3804761428,7.8,1.3228756555,5.0,5,Missile,1.6094379124,True,../stimuli_figure/missile.jpeg,../stimuli_figure/MISSILE.jpeg
object,Navaja,2.0789473684,1.4590181619999998,6.421052631599999,2.1514492783000003,3.64,1.7767010628,7.24,1.7860571099,13.39,6,Razor,2.5945081597,True,../stimuli_figure/razor.jpeg,../stimuli_figure/RAZOR.jpeg
object,Patinete,5.7105263158,1.7692248224,5.1052631579000005,1.9699015435,3.52,2.1817424228999998,6.84,1.6753109164,0.18,8,Scooter,-1.7147984281,True,../stimuli_figure/scooter.jpeg,../stimuli_figure/SCOOTER.jpeg
object,Pegamento,4.3947368420999995,1.4803117583,3.6578947368,1.7441224199,4.76,2.3323807578999998,7.4,1.7559422921,1.61,9,Glue,0.476234179,True,../stimuli_figure/glue.jpeg,../stimuli_figure/GLUE.jpeg
object,Peluche,7.473684210499999,1.2244544754,4.1578947368,2.5204709533000003,4.8,2.4152294577,6.56,2.1424285286,2.14,7,Teddy,0.760805829,True,../stimuli_figure/teddy.jpeg,../stimuli_figure/TEDDY.jpeg
object,Pu�al,1.9210526316,1.4403749313999998,6.8947368421,1.7365618982,3.32,2.0760539492,7.52,1.5842979518,5.89,5,Dagger,1.7732559977000002,True,../stimuli_figure/dagger.jpeg,../stimuli_figure/DAGGER.jpeg
object,Refiner�a,3.6216216216,1.9054213787999998,4.3513513514,2.4405852692,3.6,2.9580398915,6.96,2.3,0.89,9,Refinery,-0.11653381630000001,True,../stimuli_figure/refinery.jpeg,../stimuli_figure/REFINERY.jpeg
object,Retrete,3.1578947368,1.7009745344999998,3.7368421052999996,2.0491819136,4.88,2.8331372481,7.8,1.6329931619,8.04,7,Toilet,2.0844290832,True,../stimuli_figure/toilet.jpeg,../stimuli_figure/TOILET.jpeg
object,Sacapuntas,4.7105263158,1.2060185722,3.6842105263,1.8614911657,4.88,3.0730007051,7.416666666699999,2.1652726842,0.18,10,Sharpener,-1.7147984281,True,../stimuli_figure/sharpener.jpeg,../stimuli_figure/SHARPENER.jpeg
object,Sierra,3.7105263157999997,2.0912674902,5.0526315789,2.1428368217,3.12,1.9646882704,6.76,1.4798648587,14.82,6,Mountain range,2.6959776199000003,True,../stimuli_figure/mountain range.jpeg,../stimuli_figure/MOUNTAIN RANGE.jpeg
object,Sombrilla,5.842105263200001,1.4051318259,3.7631578947000004,1.9512187533,4.76,2.2412793965,7.88,1.0535653753,4.29,9,Umbrella,1.4562867329,True,../stimuli_figure/umbrella.jpeg,../stimuli_figure/UMBRELLA.jpeg
object,Soplete,3.7631578947000004,1.6180437058000001,4.8421052632,2.0205206150999997,3.9166666667000003,2.7491764248000004,7.4,1.5275252316999999,2.5,7,Blowtorch,0.9162907319,True,../stimuli_figure/blowtorch.jpeg,../stimuli_figure/BLOWTORCH.jpeg
object,Tr�pode,4.5789473684,1.2867637795,3.8157894737,2.1792047044,3.64,2.5311394009,6.56,1.8726095874000002,1.79,7,Tripod,0.5822156199,True,../stimuli_figure/tripod.jpeg,../stimuli_figure/TRIPOD.jpeg
object,Tuerca,4.3421052632,1.6485262180000002,3.4736842105,1.8561343455000001,4.08,2.5152865973,6.4,2.0615528128,0.71,6,Nut,-0.3424903089,True,../stimuli_figure/nut.jpeg,../stimuli_figure/NUT.jpeg
