Category,Word,Mean_Valence,SD_Valence,Mean_Arousal,SD_Arousal,Mean_Familiarity,SD_Familiarity,Mean_Concreteness,SD_Concreteness,Frequency,Length,English,log_frequency,picked,PATH_spanish,PATH_english,blank_dur,category
object,Mecedora,6.342105263157895,1.834744489015173,2.6578947368421053,1.6648401561041697,4.04,2.3537204591879637,6.52,2.2752289262108696,4.11,8,Rocking chair,1.4134230285081433,True,../stimuli_figure/Rocking chair_es.jpeg,../stimuli_figure/Rocking chair_en.jpeg,0.3622960013170863,Nonliving_Things
animal,Águila,6.157894736842105,1.5513954623216122,6.0,1.6765472885698187,4.32,2.444722206441188,7.36,1.8,7.86,6,Eagle,2.0617866064411148,True,../stimuli_figure/Eagle_es.jpeg,../stimuli_figure/Eagle_en.jpeg,0.6622124312981593,Living_Things
animal,Leopardo,6.078947368421053,1.9225768033352053,6.2894736842105265,1.844024604643876,3.48,1.9390719429665322,7.96,1.2741009902410934,0.54,8,Leopard,-0.6161861394238171,True,../stimuli_figure/Leopard_es.jpeg,../stimuli_figure/Leopard_en.jpeg,0.5395122110157778,Living_Things
animal,Liebre,5.605263157894738,1.2200902422142859,4.684210526315789,1.8759540010192832,4.16,2.2300971578236966,7.4,1.8929694486000912,5.0,6,Hare,1.6094379124341005,True,../stimuli_figure/Hare_es.jpeg,../stimuli_figure/Hare_en.jpeg,0.4378739434727396,Living_Things
animal,Almeja,4.921052631578949,1.6986732334124204,3.4210526315789487,1.7496189383941527,4.24,2.3853720883753127,6.72,2.6223399220289245,0.54,6,Clam,-0.6161861394238171,True,../stimuli_figure/Clam_es.jpeg,../stimuli_figure/Clam_en.jpeg,0.4188469988800126,Living_Things
animal,Caracol,5.052631578947368,1.9583137868136629,3.210526315789473,2.1073602641865827,5.0,1.9790570145063195,7.88,1.2355835328567109,5.36,7,Snail,1.6789639750827108,True,../stimuli_figure/Snail_es.jpeg,../stimuli_figure/Snail_en.jpeg,0.3381709018968053,Living_Things
animal,Lince,6.894736842105262,1.3313166351136376,6.657894736842105,1.7285569014623643,3.6,2.179449471770337,6.76,2.1268129521265693,1.25,5,Lynx,0.22314355131420974,True,../stimuli_figure/Lynx_es.jpeg,../stimuli_figure/Lynx_en.jpeg,0.380255398037512,Living_Things
object,Patinete,5.7105263157894735,1.7692248224184892,5.105263157894737,1.969901543488508,3.52,2.181742422927143,6.84,1.6753109164172073,0.18,8,Scooter,-1.7147984280919266,True,../stimuli_figure/Scooter_es.jpeg,../stimuli_figure/Scooter_en.jpeg,0.5052140102404776,Nonliving_Things
object,Escudo,4.7368421052631575,1.4460423253929602,4.947368421052632,1.7698277274700398,3.8,2.309401076758503,6.291666666666668,2.6454089297870573,8.93,6,Shield,2.189416394888408,True,../stimuli_figure/Shield_es.jpeg,../stimuli_figure/Shield_en.jpeg,0.5730536888077022,Nonliving_Things
object,Látigo,3.0526315789473686,1.7850333999608572,5.815789473684211,1.72196090544652,3.32,2.3043437243605824,7.72,1.5143755588800725,4.46,6,Whip,1.4951487660319729,True,../stimuli_figure/Whip_es.jpeg,../stimuli_figure/Whip_en.jpeg,0.4303806612161965,Nonliving_Things
object,Flecha,3.763157894736842,1.9233165404935268,5.5,2.1529363983023595,4.64,2.51462389500564,6.08,2.1969676071045443,4.46,6,Arrow,1.4951487660319729,True,../stimuli_figure/Arrow_es.jpeg,../stimuli_figure/Arrow_en.jpeg,0.4196775318598312,Nonliving_Things
object,Sacapuntas,4.7105263157894735,1.2060185722392749,3.6842105263157885,1.861491165675036,4.88,3.073000705065545,7.416666666666668,2.165272684236664,0.18,10,Sharpener,-1.7147984280919266,True,../stimuli_figure/Sharpener_es.jpeg,../stimuli_figure/Sharpener_en.jpeg,0.5486317707485023,Nonliving_Things
object,Hamaca,7.0,1.506741607001768,3.3157894736842106,2.267338756243072,4.28,2.622339922028925,7.88,1.3940349110884338,2.5,6,Hammock,0.9162907318741552,True,../stimuli_figure/Hammock_es.jpeg,../stimuli_figure/Hammock_en.jpeg,0.5064152997587342,Nonliving_Things
animal,Zorro,5.63157894736842,1.923131632879728,5.921052631578947,1.6986732334124204,3.208333333333333,2.2062986251159216,7.791666666666668,1.5874279625330658,4.82,5,Fox,1.572773928062509,True,../stimuli_figure/Fox_es.jpeg,../stimuli_figure/Fox_en.jpeg,0.5605405959463865,Living_Things
object,Refinería,3.6216216216216215,1.9054213787586805,4.351351351351353,2.440585269245157,3.6,2.9580398915498085,6.96,2.3000000000000003,0.89,9,Refinery,-0.11653381625595152,True,../stimuli_figure/Refinery_es.jpeg,../stimuli_figure/Refinery_en.jpeg,0.6925039900095413,Nonliving_Things
animal,Orangután,5.5,1.955587974069263,5.973684210526316,1.9657450565400183,3.16,2.173323108360405,8.0,1.6329931618554518,1.07,9,Orangutan,0.06765864847381486,True,../stimuli_figure/Orangutan_es.jpeg,../stimuli_figure/Orangutan_en.jpeg,0.6618224242132063,Living_Things
object,Cometa,6.315789473684211,1.416223817207838,5.184210526315789,1.7375855126986577,4.88,2.471841418861654,7.24,1.8321208111548388,7.5,6,Kite,2.0149030205422647,True,../stimuli_figure/Kite_es.jpeg,../stimuli_figure/Kite_en.jpeg,0.65204899373315,Nonliving_Things
object,Peluche,7.473684210526316,1.2244544754488242,4.1578947368421035,2.5204709533057583,4.8,2.4152294576982403,6.56,2.142428528562856,2.14,7,Teddy,0.7608058290337602,True,../stimuli_figure/Teddy_es.jpeg,../stimuli_figure/Teddy_en.jpeg,0.4243776387744368,Nonliving_Things
animal,Gallina,4.578947368421051,1.2221288238233792,4.605263157894737,1.6030287833434544,4.64,2.6280537792569363,6.92,2.3259406699226006,13.04,7,Hen,2.5680215564985067,True,../stimuli_figure/Hen_es.jpeg,../stimuli_figure/Hen_en.jpeg,0.5200805070775798,Living_Things
object,Sombrilla,5.842105263157895,1.405131825872454,3.763157894736842,1.951218753252463,4.76,2.2412793965352322,7.88,1.0535653752852758,4.29,9,Umbrella,1.4562867329399256,True,../stimuli_figure/Umbrella_es.jpeg,../stimuli_figure/Umbrella_en.jpeg,0.3233334448475426,Nonliving_Things
object,Jeringa,2.0,1.2080808993852437,6.947368421052633,1.6594914300903707,3.56,2.3108440016582685,6.4,2.565800719723442,1.07,7,Syringe,0.06765864847381486,True,../stimuli_figure/Syringe_es.jpeg,../stimuli_figure/Syringe_en.jpeg,0.655751668155003,Nonliving_Things
object,Esterilla,5.2368421052631575,1.6346618879477692,3.394736842105264,1.9664685549290872,3.88,2.420743687382041,6.56,2.5832795693330093,0.36,9,Wicker,-1.0216512475319814,True,../stimuli_figure/Wicker_es.jpeg,../stimuli_figure/Wicker_en.jpeg,0.6599928802859657,Nonliving_Things
object,Arco,4.842105263157895,1.3259635107586647,4.052631578947368,1.7076515946484954,4.08,2.4650895859312425,6.2,2.2546248764114467,22.86,4,Arc,3.1293886583666644,True,../stimuli_figure/Arc_es.jpeg,../stimuli_figure/Arc_en.jpeg,0.6949854698841671,Nonliving_Things
object,Machete,2.473684210526316,1.720101224319696,6.026315789473684,2.1115748203428915,3.12,2.3860706890897707,7.56,1.1210114480533506,1.79,7,Machete,0.5822156198526637,True,../stimuli_figure/Machete_es.jpeg,../stimuli_figure/Machete_en.jpeg,0.6803671600084746,Nonliving_Things
animal,Cocodrilo,4.631578947368421,1.93713430908564,6.605263157894738,1.823858008997508,4.52,2.5839246635044657,7.88,1.4525839046333966,3.21,9,Crocodile,1.1662709371419244,True,../stimuli_figure/Crocodile_es.jpeg,../stimuli_figure/Crocodile_en.jpeg,0.39543505727485534,Living_Things
animal,Oso,5.605263157894738,1.7939760112321024,5.2368421052631575,2.0721344332669602,4.72,2.685144316419509,7.64,1.468559384794046,11.43,3,Bear,2.4362414778067194,True,../stimuli_figure/Bear_es.jpeg,../stimuli_figure/Bear_en.jpeg,0.3557170325195985,Living_Things
animal,Gaviota,5.0,1.9864405216230223,5.026315789473684,1.924055993246912,4.36,2.325224003546038,7.92,1.5524174696260014,2.5,7,Seagull,0.9162907318741552,True,../stimuli_figure/Seagull_es.jpeg,../stimuli_figure/Seagull_en.jpeg,0.6341510136298575,Living_Things
animal,Mejillón,5.342105263157895,1.6648401561041688,3.5789473684210527,2.0747071294114563,4.36,2.3430749027719964,7.76,1.7146428199482242,3.21,8,Mussel,1.1662709371419244,True,../stimuli_figure/Mussel_es.jpeg,../stimuli_figure/Mussel_en.jpeg,0.6391425792144511,Living_Things
animal,Escarabajo,3.3684210526315788,1.6833212445988381,4.552631578947368,2.2862381283489173,3.36,1.8,7.52,1.5307950004273383,1.43,10,Beetle,0.3576744442718159,True,../stimuli_figure/Beetle_es.jpeg,../stimuli_figure/Beetle_en.jpeg,0.4105455958987787,Living_Things
object,Navaja,2.0789473684210527,1.4590181620374196,6.421052631578947,2.1514492783133536,3.64,1.7767010628315238,7.24,1.7860571099491744,13.39,6,Razor,2.594508159703081,True,../stimuli_figure/Razor_es.jpeg,../stimuli_figure/Razor_en.jpeg,0.3046393993802575,Nonliving_Things
animal,Ciervo,6.526315789473684,1.2021791498743444,4.868421052631579,1.7269102643641998,3.24,2.259793500890439,7.32,1.9941581348194704,1.79,6,Deer,0.5822156198526637,True,../stimuli_figure/Deer_es.jpeg,../stimuli_figure/Deer_en.jpeg,0.4310399001058545,Living_Things
object,Lancha,6.157894736842105,1.6028069261998623,5.894736842105262,1.9142350625830131,3.2,1.914854215512676,7.12,2.0066555924389893,1.96,6,Boat,0.6729444732424258,True,../stimuli_figure/Boat_es.jpeg,../stimuli_figure/Boat_en.jpeg,0.6586195565604661,Nonliving_Things
animal,Golondrina,6.315789473684211,1.3173532670307042,4.3421052631578965,1.8347444890151736,3.12,2.06801031589948,7.16,1.4047538337136969,2.32,10,Swallow,0.8415671856782185,True,../stimuli_figure/Swallow_es.jpeg,../stimuli_figure/Swallow_en.jpeg,0.6187313327839243,Living_Things
object,Alambre,3.263157894736842,1.605467188488873,4.026315789473684,2.1496302900890374,3.64,2.0591260281974,7.4,1.3228756555322954,4.64,7,Wire,1.534714366238164,True,../stimuli_figure/Wire_es.jpeg,../stimuli_figure/Wire_en.jpeg,0.3099716753942492,Nonliving_Things
animal,Abejorro,2.131578947368421,1.3187023234692454,7.078947368421053,1.5833863633154823,4.4,2.4152294576982403,7.52,1.5307950004273383,0.18,8,Bumblebee,-1.7147984280919266,True,../stimuli_figure/Bumblebee_es.jpeg,../stimuli_figure/Bumblebee_en.jpeg,0.6854457461551342,Living_Things
